writeDate,npType,account,mediaPath,npOriginUrl,npTargetUrl,cpc,searchKeyword1,searchKeyword2,searchKeyword3,searchKeyword4,searchKeyword5,createDate,createTimes
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030522054483035&pn=293&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030522054483035&utm_source=np211221t1vNQ75V,http://bltly.link/QBPa689,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030521584428484&pn=88&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030521584428484&utm_source=np211221t1vNQ75V,http://bltly.link/E6FGqB2,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030521522438902&pn=88&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030521522438902&utm_source=np211221t1vNQ75V,http://bltly.link/1tjFUx6,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030521350086280&pn=82&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030521350086280&utm_source=np211221t1vNQ75V,http://bltly.link/BIcIDeW,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030520505013155&pn=88&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030520505013155&utm_source=np211221t1vNQ75V,http://bltly.link/TEb8fM9,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030520550971059&pn=88&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030520550971059&utm_source=np211221t1vNQ75V,http://bltly.link/eM5m4Nk,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030520400065984&pn=88&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030520400065984&utm_source=np211221t1vNQ75V,http://bltly.link/gyoBhxF,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030520460084115&pn=480&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030520460084115&utm_source=np211221t1vNQ75V,http://bltly.link/CAZrQN8,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030520345143182&pn=88&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030520345143182&utm_source=np211221t1vNQ75V,http://bltly.link/o6ns04A,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030520350069958&pn=417&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030520350069958&utm_source=np211221t1vNQ75V,http://bltly.link/Wgao0dm,4,,,,,,,
22.03.06,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030522481327906&pn=140&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030522481327906&utm_source=np211221t1vNQ75V&rssOption=K_RTI&channelName=%EB%89%B4%EC%8A%A4,http://bltly.link/EJJpfUi,3,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030619210077833&pn=82&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030619210077833&utm_source=np211221t1vNQ75V,http://bltly.link/EMUumW5,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030618453482246&pn=560&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030618453482246&utm_source=np211221t1vNQ75V,http://bltly.link/z5vGvf9,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030621330313097&pn=88&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030621330313097&utm_source=np211221t1vNQ75V,http://bltly.link/6VDMtHj,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030621030032489&pn=480&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030621030032489&utm_source=np211221t1vNQ75V,http://bltly.link/NeMQH8f,3,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030620251661106&pn=179&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030620251661106&utm_source=np211221t1vNQ75V,http://bltly.link/2TGQ96R,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030621350035745&pn=82&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030621350035745&utm_source=np211221t1vNQ75V&rssOption=CTR&channelName=%EC%97%B0%EC%98%88,http://bltly.link/ZkMCA0H,4,,,,,,,
22.03.07,TB,minmma-blog,https://minmma-blog.tumblr.com/,http://m.newspic.kr/view.html?nid=2022030619462099581&pn=139&lcp=t1vNQ75V&cp=H0cKa48w&utm_medium=affiliate&utm_campaign=2022030619462099581&utm_source=np211221t1vNQ75V,http://bltly.link/mrZkzJf,4,,,,,,,
